Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides H23R_1	Peptides H23R_2	Peptides H23R_3	Peptides WT_1	Peptides WT_2	Peptides WT_3	Razor + unique peptides H23R_1	Razor + unique peptides H23R_2	Razor + unique peptides H23R_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Unique peptides H23R_1	Unique peptides H23R_2	Unique peptides H23R_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type H23R_1	Identification type H23R_2	Identification type H23R_3	Identification type WT_1	Identification type WT_2	Identification type WT_3	Sequence coverage H23R_1 [%]	Sequence coverage H23R_2 [%]	Sequence coverage H23R_3 [%]	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Intensity	Intensity H23R_1	Intensity H23R_2	Intensity H23R_3	Intensity WT_1	Intensity WT_2	Intensity WT_3	LFQ intensity H23R_1	LFQ intensity H23R_2	LFQ intensity H23R_3	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	MS/MS Count H23R_1	MS/MS Count H23R_2	MS/MS Count H23R_3	MS/MS Count WT_1	MS/MS Count WT_2	MS/MS Count WT_3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P54760|EPHB4_HUMAN	sp|P54760|EPHB4_HUMAN	4	4	4		1	4	4	4	4	3	4	4	4	4	4	3	4	4	4	4	4	3	4	4	4	4	6.2	6.2	6.2	108.27	987	987	0	35.442	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.2	4.8	6.2	6.2	6.2	6.2	37572000	6202100	4042600	5771200	8590100	5947500	7018500	6479500	5733500	5293100	7773500	5175900	5660700	3	1	1	3	1	4	13				740	518;1003;6468;7917	True;True;True;True	525;1018;6593;8072	3106;3107;3108;3109;3110;3111;6011;6012;6013;6014;6015;6016;39781;39782;39783;39784;39785;48970;48971;48972;48973;48974;48975	3179;6084;6085;6086;6087;6088;39787;39788;39789;49274;49275;49276;49277;49278	3179;6086;39788;49278		
sp|P54802|ANAG_HUMAN	sp|P54802|ANAG_HUMAN	2	2	2		1	2	2	2	0	1	1	2	1	2	0	1	1	2	1	2	0	1	1	2	1	2	4.3	4.3	4.3	82.265	743	743	0	12.559		By matching	By matching	By MS/MS	By matching	By MS/MS	0	1.5	1.5	4.3	1.5	4.3	34010000	0	415570	796990	2909300	722630	29165000	0	0	0	0	0	23325000	0	0	0	1	0	1	2				741	1987;6119	True;True	2017;6238	11891;11892;11893;11894;11895;37580;37581	11926;11927;37623;37624	11927;37623		
sp|P54819|KAD2_HUMAN	sp|P54819|KAD2_HUMAN	5	5	5		1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	34.3	34.3	34.3	26.477	239	239	0	40.752	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	34.3	34.3	34.3	34.3	34.3	34.3	82648000	7095900	6640700	10472000	23186000	16729000	18524000	7109000	6998600	9547200	23959000	16013000	14802000	3	1	2	6	7	10	29				742	1437;4556;4824;5567;6575	True;True;True;True;True	1460;4625;4896;5677;6701	8675;8676;8677;8678;8679;8680;27836;27837;27838;27839;27840;27841;29473;29474;29475;29476;29477;29478;34236;34237;34238;34239;34240;34241;40473;40474;40475;40476;40477;40478	8743;8744;27872;27873;27874;27875;27876;27877;27878;27879;27880;27881;27882;27883;27884;29515;29516;29517;29518;29519;29520;29521;29522;34522;34523;34524;40490;40491;40492;40493	8743;27878;29517;34522;40490		
sp|P54826|GAS1_HUMAN	sp|P54826|GAS1_HUMAN	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.2	3.2	3.2	35.693	345	345	0.0037793	7.0302	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.2	3.2	3.2	3.2	3.2	3.2	11632000	1838700	1141700	2656100	2903900	1097100	1994600	0	0	0	0	0	1595200	1	1	1	1	1	1	6				743	7053	True	7187	43461;43462;43463;43464;43465;43466	43536;43537;43538;43539;43540;43541	43539		
sp|P54920|SNAA_HUMAN;sp|Q9H115|SNAB_HUMAN	sp|P54920|SNAA_HUMAN;sp|Q9H115|SNAB_HUMAN	2;1	2;1	2;1	;	2	2	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	2	2	9.8	9.8	9.8	33.232	295	295;298	0	11.593	By matching	By matching	By matching	By matching	By matching	By MS/MS	9.8	6.1	6.1	3.7	9.8	9.8	7833400	1669400	598440	617320	1166800	1281800	2499600	1519700	0	0	0	1299100	2098500	0	0	0	0	0	2	2				744	4012;4315	True;True	4071;4381	24506;24507;24508;24509;26400;26401;26402;26403;26404	24612;26441	24612;26441		
sp|P55010|IF5_HUMAN	sp|P55010|IF5_HUMAN	4	4	4		1	4	4	4	4	4	4	4	3	3	4	4	4	4	3	3	4	4	4	4	3	3	7.2	7.2	7.2	49.222	431	431	0	25.309	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.2	7.2	7.2	7.2	4.9	4.9	53192000	4974400	5477300	8283100	18867000	8597000	6992500	6167600	7512400	10365000	10446000	9957200	7077700	3	3	3	2	2	2	15				745	7056;7528;7566;7567	True;True;True;True	7190;7676;7716;7717	43479;43480;43481;43482;43483;43484;46611;46612;46613;46614;46838;46839;46840;46841;46842;46843;46844;46845;46846;46847;46848;46849	43552;43553;43554;43555;46922;46923;46924;46925;46926;47171;47172;47173;47174;47175;47176	43553;46922;47175;47176		
sp|P55036|PSMD4_HUMAN	sp|P55036|PSMD4_HUMAN	3	3	3		1	3	3	3	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	11.4	11.4	11.4	40.736	377	377	0	25.283	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	10.3	10.3	11.4	11.4	11.4	4.8	26144000	3735200	2908100	2609800	6719200	6038100	4133500	4175500	0	2838900	7584100	4082500	0	1	0	0	4	1	0	6				746	5;3140;3141	True;True;True	5;3185;3186	18;19;20;21;22;19078;19079;19080;19081;19082;19083;19084;19085	18;19;19312;19313;19314;19315	18;19312;19314		
sp|P55060|XPO2_HUMAN	sp|P55060|XPO2_HUMAN	7	7	7		1	7	7	7	6	4	6	4	6	7	6	4	6	4	6	7	6	4	6	4	6	7	8.1	8.1	8.1	110.42	971	971	0	49.185	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.2	4.8	7.2	5.6	7.2	8.1	774660000	146410000	52893000	116400000	13014000	203920000	242020000	82879000	137930000	93431000	179790000	104090000	124400000	3	5	4	2	4	8	26				747	18;2073;2832;3160;4393;4987;7391	True;True;True;True;True;True;True	18;2105;2873;3206;4459;5067;7535	90;91;92;93;94;95;12402;12403;12404;12405;12406;12407;17103;17104;17105;17106;17107;19193;19194;19195;19196;26844;26845;26846;26847;26848;26849;30456;30457;30458;30459;30460;30461;45774	72;73;74;75;76;77;78;79;80;12421;12422;12423;12424;12425;17157;17158;19415;19416;19417;19418;26883;26884;26885;26886;26887;30497;46032	80;12425;17158;19415;26885;30497;46032		
sp|P55072|TERA_HUMAN	sp|P55072|TERA_HUMAN	26	26	26		1	26	26	26	22	20	22	22	21	24	22	20	22	22	21	24	22	20	22	22	21	24	39.7	39.7	39.7	89.321	806	806	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.5	31.6	33.4	39.7	35.9	37.6	876270000	93261000	84551000	156800000	238220000	145620000	157820000	109830000	111630000	137720000	177800000	148910000	131070000	22	18	25	22	23	29	139				748	254;255;598;1144;1537;1538;1587;1588;1710;1719;1720;1846;1847;2245;2558;3131;3863;4010;4245;4945;5158;5471;5903;7375;7376;7836	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	257;258;606;1164;1560;1561;1613;1614;1736;1745;1746;1874;1875;2280;2595;3176;3919;4069;4311;5023;5258;5577;6018;7519;7520;7989	1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;3562;3563;3564;3565;3566;3567;3568;3569;6901;6902;6903;6904;6905;6906;9234;9235;9236;9237;9238;9239;9240;9241;9242;9243;9244;9245;9246;9564;9565;9566;9567;9568;9569;9570;9571;9572;9573;9574;10283;10284;10285;10286;10287;10288;10289;10334;10335;10336;10337;10338;10339;10340;10341;10342;10343;10344;11074;11075;11076;11077;11078;11079;11080;11081;11082;11083;13448;13449;13450;13451;13452;13453;15403;15404;19034;19035;19036;23595;23596;23597;23598;23599;23600;23601;24494;24495;24496;24497;24498;24499;25958;25959;25960;25961;25962;25963;25964;25965;25966;25967;25968;30220;30221;30222;30223;30224;30225;31602;31603;31604;31605;31606;31607;33638;33639;33640;33641;33642;33643;33644;33645;33646;33647;36344;36345;36346;36347;45684;45685;45686;45687;45688;45689;45690;48488;48489;48490;48491;48492;48493	1550;1551;1552;1553;1554;1555;1556;1557;3630;3631;3632;3633;3634;3635;3636;7108;7109;7110;7111;7112;7113;9331;9332;9333;9334;9335;9336;9337;9338;9339;9340;9341;9635;9636;9637;9638;9639;9640;9641;9642;9643;10282;10283;10284;10285;10328;10329;10330;10331;10332;10333;10334;10335;10336;10337;10338;10339;10340;11076;11077;11078;11079;13499;15514;15515;19279;23650;23651;23652;23653;23654;23655;23656;24593;24594;24595;24596;24597;24598;24599;24600;24601;26054;26055;26056;26057;26058;26059;26060;26061;26062;30280;30281;30282;30283;30284;30285;30286;30287;31717;31718;31719;33822;33823;33824;33825;33826;33827;33828;33829;33830;33831;33832;33833;33834;33835;33836;33837;33838;33839;33840;33841;33842;36391;36392;36393;45961;45962;45963;45964;45965;45966;45967;45968;48834;48835;48836;48837;48838;48839	1550;1557;3635;7113;9334;9338;9636;9643;10283;10328;10340;11078;11079;13499;15514;19279;23651;24601;26060;30284;31719;33828;36391;45961;45964;48837	123	550
sp|P55145|MANF_HUMAN	sp|P55145|MANF_HUMAN	2	2	2		1	2	2	2	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	14.3	14.3	14.3	20.7	182	182	0	14.704	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	14.3	14.3	14.3	6	6	6	22397000	5539500	5761200	4807000	1341900	2260300	2687200	6131800	5792200	4755800	0	0	0	2	1	2	0	1	0	6				749	1172;5639	True;True	1192;5750	7076;7077;7078;34660;34661;34662;34663;34664;34665	7278;34894;34895;34896;34897;34898	7278;34897		
sp|P55209|NP1L1_HUMAN	sp|P55209|NP1L1_HUMAN	8	8	7		1	8	8	7	7	8	6	8	8	7	7	8	6	8	8	7	6	7	5	7	7	6	22.5	22.5	19.9	45.374	391	391	0	95.278	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.5	22.5	19.7	22.5	22.5	19.7	256410000	36864000	39258000	25408000	64408000	47289000	43186000	42030000	39194000	34653000	47697000	43401000	42344000	11	10	8	7	10	11	57				750	2180;2422;3861;3984;5468;5713;7939;7940	True;True;True;True;True;True;True;True	2214;2459;3917;4043;5574;5824;8095;8096	13066;13067;13068;13069;13070;13071;13072;13073;13074;13075;13076;14541;14542;14543;14544;23577;23578;23579;23580;23581;23582;24343;24344;24345;24346;24347;24348;33623;33624;33625;33626;33627;33628;35101;35102;35103;35104;35105;35106;49121;49122;49123;49124;49125;49126;49127;49128;49129;49130	13141;13142;13143;13144;13145;13146;13147;13148;13149;13150;14655;14656;14657;14658;23624;23625;23626;23627;23628;23629;24441;24442;24443;24444;24445;24446;33795;33796;33797;33798;33799;33800;33801;33802;33803;33804;33805;33806;33807;33808;33809;33810;33811;33812;33813;33814;35288;35289;35290;35291;35292;49466;49467;49468;49469;49470;49471;49472;49473;49474;49475	13146;14655;23629;24441;33814;35290;49466;49474		
sp|P55268|LAMB2_HUMAN;sp|A4D0S4|LAMB4_HUMAN	sp|P55268|LAMB2_HUMAN	32;1	32;1	32;1		2	32	32	32	31	28	28	25	25	27	31	28	28	25	25	27	31	28	28	25	25	27	23.6	23.6	23.6	195.98	1798	1798;1761	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	23.5	21.5	21.5	19.1	20.3	21.8	548710000	120730000	93449000	125260000	96876000	49880000	62516000	123890000	114730000	112060000	81546000	52969000	54515000	41	29	34	14	17	20	155				751	165;230;343;469;535;853;875;986;987;1105;1410;1452;2227;2593;2901;2906;3391;4157;4187;4568;4571;4842;5676;5678;6244;6562;6719;7434;7447;7534;8152;8223	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	167;233;347;474;542;865;888;1000;1001;1125;1432;1475;2262;2631;2943;2948;3444;4221;4252;4638;4641;4914;5787;5789;6364;6687;6845;7579;7592;7682;8312;8383	976;1332;1333;1334;2021;2022;2023;2024;2025;2026;2027;2028;2794;2795;2796;2797;2798;2799;3187;3188;3189;3190;3191;5145;5258;5259;5260;5261;5262;5263;5913;5914;5915;5916;5917;5918;5919;6681;6682;6683;6684;6685;8506;8507;8508;8509;8510;8511;8758;8759;8760;8761;13342;13343;13344;13345;13346;13347;15612;15613;15614;15615;15616;15617;17578;17579;17580;17581;17582;17610;17611;17612;17613;17614;17615;20639;20640;20641;20642;20643;20644;25409;25410;25411;25412;25596;25597;25598;25599;27914;27915;27916;27917;27918;27919;27920;27921;27922;27923;27924;27932;27933;27934;27935;27936;27937;27938;29583;29584;29585;29586;29587;29588;29589;29590;29591;29592;29593;34873;34874;34875;34876;34877;34878;34885;34886;34887;34888;34889;38373;38374;38375;38376;38377;38378;40376;40377;40378;40379;40380;40381;41346;41347;41348;41349;41350;41351;46032;46033;46034;46035;46036;46037;46120;46121;46122;46123;46124;46125;46645;46646;46647;46648;46649;46650;50444;50445;50446;50447;50448;50449;50880;50881;50882;50883;50884;50885	1041;1389;2041;2042;2043;2044;2045;2870;2871;2872;2873;2874;2875;2876;3232;3233;3234;3235;3236;3237;3238;3239;3240;3241;3242;5297;5398;5968;5969;5970;5971;5972;6867;6868;6869;6870;8571;8572;8573;8832;13405;13406;13407;13408;13409;13410;15710;15711;15712;17634;17635;17636;17637;17674;17675;17676;17677;17678;17679;17680;17681;20883;20884;20885;20886;20887;25471;25472;25669;25670;27959;27960;27961;27962;27963;27964;27965;27966;27967;27968;27977;27978;27979;27980;27981;27982;29645;29646;29647;29648;29649;29650;29651;35094;35095;35096;35097;35098;35099;35109;35110;35111;35112;35113;38455;38456;38457;38458;38459;38460;38461;38462;38463;40380;40381;40382;40383;40384;41320;41321;41322;46300;46301;46302;46303;46304;46305;46306;46307;46415;46416;46417;46418;46419;46420;46421;46422;46423;46968;46969;46970;46971;46972;46973;46974;46975;46976;46977;46978;50759;50760;50761;50762;50763;50764;51160;51161;51162;51163;51164	1041;1389;2041;2870;3234;5297;5398;5968;5970;6868;8572;8832;13409;15712;17635;17677;20883;25471;25670;27960;27980;29647;35095;35109;38462;40383;41320;46304;46418;46969;50762;51161		
sp|P55327|TPD52_HUMAN	sp|P55327|TPD52_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	20.1	20.1	20.1	24.327	224	224	0	13.718	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.1	20.1	20.1	20.1	20.1	20.1	27880000	3750800	4284400	3707000	5578600	4106000	6452900	3801800	4832300	3649700	5530100	3900500	5061500	2	2	2	2	1	2	11				752	584;6644	True;True	591;6770	3482;3483;3484;3485;3486;3487;40908;40909;40910;40911;40912;40913	3536;3537;3538;3539;3540;40890;40891;40892;40893;40894;40895	3539;40893		
sp|P55769|NH2L1_HUMAN	sp|P55769|NH2L1_HUMAN	1	1	1		1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	9.4	9.4	9.4	14.173	128	128	0	12.457		By matching		By matching	By MS/MS	By MS/MS	0	9.4	0	9.4	9.4	9.4	3703900	0	974320	0	421230	1043000	1265400	0	0	0	0	0	1012000	0	0	0	0	1	1	2				753	5749	True	5860	35313;35314;35315;35316	35430;35431	35430		
sp|P55786|PSA_HUMAN;sp|A6NEC2|PSAL_HUMAN	sp|P55786|PSA_HUMAN	13;4	13;4	13;4		2	13	13	13	12	11	12	13	13	13	12	11	12	13	13	13	12	11	12	13	13	13	19.8	19.8	19.8	103.28	919	919;478	0	113.01	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.3	17	18.3	19.8	19.8	19.8	200630000	26491000	23984000	33829000	42191000	30116000	44023000	27981000	29909000	33107000	37506000	26835000	36331000	10	11	9	8	10	18	66				754	656;772;3268;3783;4164;4489;4690;6405;6869;6983;7459;7527;7924	True;True;True;True;True;True;True;True;True;True;True;True;True	665;782;3319;3839;4228;4558;4760;6529;6998;7115;7604;7675;8079	3927;3928;3929;3930;3931;3932;3933;4632;4633;4634;4635;4636;19924;19925;19926;19927;19928;19929;23037;23038;23039;23040;23041;23042;25448;25449;25450;25451;25452;25453;27447;27448;27449;27450;27451;27452;28628;28629;28630;28631;28632;28633;39375;39376;39377;39378;39379;39380;42260;42261;42262;42263;42264;42265;42993;42994;42995;42996;42997;42998;46180;46181;46182;46183;46184;46185;46605;46606;46607;46608;46609;46610;49008;49009;49010	3991;3992;3993;3994;3995;3996;3997;3998;4742;4743;4744;4745;20191;20192;20193;20194;20195;20196;20197;20198;20199;20200;20201;23079;23080;25496;25497;27497;27498;27499;27500;27501;27502;27503;28611;28612;28613;39446;39447;39448;39449;39450;39451;39452;42331;42332;42333;42334;42335;43049;46486;46487;46488;46489;46490;46491;46492;46493;46494;46495;46496;46916;46917;46918;46919;46920;46921;49314;49315	3998;4745;20197;23080;25496;27499;28613;39452;42332;43049;46496;46919;49315		
sp|P55809|SCOT1_HUMAN	sp|P55809|SCOT1_HUMAN	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.7	2.7	2.7	56.157	520	520	0.0030395	7.1332	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	2.7	2.7	2.7	2.7	2.7	2.7	9316000	791810	709340	773850	2673500	1708700	2658900	0	0	0	0	0	2126500	0	0	0	1	1	1	3				755	5132	True	5229	31422;31423;31424;31425;31426;31427	31537;31538;31539	31539		
sp|Q6EEV6|SUMO4_HUMAN;sp|P61956|SUMO2_HUMAN;sp|P55854|SUMO3_HUMAN	sp|Q6EEV6|SUMO4_HUMAN;sp|P61956|SUMO2_HUMAN;sp|P55854|SUMO3_HUMAN	1;1;1	1;1;1	1;1;1	;;	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12.6	12.6	12.6	10.685	95	95;95;103	0	19.299	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.6	12.6	12.6	12.6	12.6	12.6	100440000	16552000	16025000	15642000	7420900	17991000	26809000	0	0	0	0	0	21441000	3	3	5	1	4	6	22				756	7126	True	7264	43945;43946;43947;43948;43949;43950	43982;43983;43984;43985;43986;43987;43988;43989;43990;43991;43992;43993;43994;43995;43996;43997;43998;43999;44000;44001;44002;44003	43996		
sp|P55884|EIF3B_HUMAN	sp|P55884|EIF3B_HUMAN	15	15	15		1	15	15	15	13	13	13	14	13	14	13	13	13	14	13	14	13	13	13	14	13	14	32.1	32.1	32.1	92.48	814	814	0	295.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25.4	25.4	25.4	30.3	27.3	29	376580000	40763000	42564000	60325000	96846000	67642000	68442000	41151000	52750000	58592000	84249000	61719000	63630000	13	16	17	15	18	15	94				757	1063;1071;1072;1694;2392;2666;2748;3432;4982;5074;5114;5819;6675;7705;8199	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1081;1089;1090;1720;2429;2704;2788;3487;5061;5164;5210;5932;6801;7856;8359	6431;6432;6433;6434;6435;6436;6491;6492;6493;6494;6495;6496;6497;6498;6499;6500;6501;6502;10177;10178;10179;10180;14356;14357;14358;14359;14360;14361;16032;16033;16034;16035;16036;16037;16557;16558;16559;16560;16561;16562;20892;20893;20894;30428;31016;31017;31018;31019;31020;31021;31302;31303;31304;31305;31306;31307;35784;35785;35786;35787;35788;35789;41089;41090;41091;41092;41093;41094;47653;47654;47655;47656;47657;47658;50732;50733;50734;50735;50736;50737	6611;6612;6689;6690;6691;6692;6693;6694;6695;6696;6697;6698;6699;6700;10163;10164;10165;10166;14456;14457;14458;14459;14460;14461;16095;16096;16097;16098;16099;16100;16670;16671;16672;16673;16674;16675;16676;16677;16678;16679;16680;16681;16682;16683;21130;21131;30477;31097;31098;31099;31100;31101;31102;31425;31426;31427;31428;31429;35875;35876;41056;41057;41058;41059;41060;41061;41062;41063;41064;41065;41066;41067;41068;41069;41070;41071;41072;41073;41074;48026;48027;48028;48029;48030;48031;48032;48033;48034;48035;48036;51013;51014;51015;51016	6612;6692;6697;10165;14460;16099;16679;21131;30477;31102;31428;35875;41064;48026;51015		
sp|P56537|IF6_HUMAN	sp|P56537|IF6_HUMAN	3	3	3		1	3	3	3	2	3	2	2	3	3	2	3	2	2	3	3	2	3	2	2	3	3	17.1	17.1	17.1	26.599	245	245	0	21.33	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	11.4	17.1	13.1	9.8	17.1	17.1	15189000	2776700	4056300	2059700	358940	3224500	2713300	3055000	4580900	0	403340	3147100	1860500	1	2	1	0	2	2	8				758	2811;4472;5433	True;True;True	2851;4540;5539	16935;16936;16937;16938;16939;27334;27335;27336;27337;27338;33413;33414;33415;33416;33417	17000;27396;27397;27398;27399;33596;33597;33598	17000;27396;33596		
sp|P58546|MTPN_HUMAN	sp|P58546|MTPN_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	16.9	16.9	16.9	12.895	118	118	0	35.416	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.9	16.9	16.9	16.9	16.9	14.4	130800000	17547000	15397000	16538000	34126000	24348000	22848000	19513000	16298000	15566000	28420000	22898000	23506000	3	1	3	4	2	3	16				759	2557;7057	True;True	2594;7191	15391;15392;15393;15394;15395;15396;15397;15398;15399;15400;15401;15402;43485;43486;43487;43488;43489	15502;15503;15504;15505;15506;15507;15508;15509;15510;15511;15512;15513;43556;43557;43558;43559	15509;43558		
sp|P59998|ARPC4_HUMAN	sp|P59998|ARPC4_HUMAN	5	5	5		1	5	5	5	4	5	4	4	3	4	4	5	4	4	3	4	4	5	4	4	3	4	38.7	38.7	38.7	19.667	168	168	0	53.238	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.5	38.7	31.5	31.5	25	31.5	67925000	5275500	11639000	8892300	18989000	12324000	10806000	6811700	8096500	9410200	20371000	12124000	9394200	3	5	3	5	2	4	22				760	152;1514;5907;6625;7478	True;True;True;True;True	154;1537;6022;6751;7624	910;911;912;913;914;915;9116;9117;9118;9119;9120;36359;36360;36361;36362;36363;36364;40809;46305;46306;46307;46308;46309;46310	988;989;990;991;992;993;994;995;9222;9223;9224;9225;9226;36408;40784;46598;46599;46600;46601;46602;46603;46604	995;9225;36408;40784;46603		
sp|P60033|CD81_HUMAN	sp|P60033|CD81_HUMAN	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.5	8.5	8.5	25.809	236	236	0	207.74	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.5	8.5	8.5	8.5	8.5	8.5	173580000	38478000	25427000	55763000	18018000	14174000	21721000	39372000	29979000	53439000	17436000	12634000	16607000	3	2	2	4	2	2	15				761	5621	True	5731	34565;34566;34567;34568;34569;34570;34571;34572;34573;34574;34575;34576	34814;34815;34816;34817;34818;34819;34820;34821;34822;34823;34824;34825;34826;34827;34828	34816		
sp|P60174|TPIS_HUMAN	sp|P60174|TPIS_HUMAN	13	13	13		1	13	13	13	11	13	12	12	13	13	11	13	12	12	13	13	11	13	12	12	13	13	47.2	47.2	47.2	30.791	286	286	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	38.5	47.2	43.4	43	47.2	47.2	3679000000	478790000	525230000	584960000	765390000	651260000	673360000	538990000	634200000	513940000	626670000	582070000	659750000	31	34	38	27	35	34	199				762	1468;1469;1900;2928;3195;3641;3797;5776;5891;6374;7338;7714;7758	True;True;True;True;True;True;True;True;True;True;True;True;True	1491;1492;1928;2970;3243;3697;3853;5887;6006;6498;7479;7865;7911	8831;8832;8833;8834;8835;8836;8837;8838;8839;8840;8841;8842;8843;8844;8845;8846;8847;8848;8849;8850;11396;11397;11398;11399;11400;11401;17807;17808;17809;17810;17811;17812;17813;17814;17815;17816;17817;17818;19430;19431;19432;19433;19434;22138;22139;22140;22141;22142;22143;23143;23144;23145;23146;23147;23148;23149;23150;23151;23152;23153;23154;35478;35479;35480;35481;35482;35483;35484;35485;35486;35487;35488;35489;36264;36265;36266;36267;36268;36269;36270;36271;36272;36273;36274;39184;39185;39186;39187;45404;45405;45406;45407;45408;47708;47709;47710;47711;47712;47713;48002;48003;48004;48005;48006;48007;48008;48009;48010;48011;48012;48013	8879;8880;8881;8882;8883;8884;8885;8886;8887;8888;8889;8890;8891;8892;8893;8894;8895;8896;8897;8898;8899;8900;8901;8902;8903;8904;8905;8906;8907;8908;8909;8910;8911;8912;8913;8914;11410;11411;11412;11413;11414;11415;11416;11417;11418;11419;11420;11421;11422;11423;11424;11425;11426;11427;11428;17953;17954;17955;17956;17957;17958;17959;17960;17961;17962;17963;17964;17965;17966;17967;17968;17969;17970;19687;19688;22252;22253;22254;23199;23200;23201;23202;23203;23204;23205;23206;23207;23208;23209;23210;23211;23212;23213;23214;23215;23216;23217;23218;23219;23220;23221;23222;23223;23224;23225;23226;23227;23228;23229;23230;23231;23232;35570;35571;35572;35573;35574;35575;35576;35577;35578;35579;35580;35581;35582;35583;35584;35585;35586;36335;36336;36337;36338;36339;36340;36341;36342;36343;36344;39267;39268;39269;39270;45595;45596;45597;45598;45599;45600;45601;45602;48068;48069;48070;48071;48072;48073;48354;48355;48356;48357;48358;48359;48360;48361;48362;48363;48364;48365;48366;48367;48368;48369;48370;48371;48372;48373;48374;48375;48376;48377;48378;48379;48380;48381;48382;48383;48384;48385;48386;48387;48388;48389;48390;48391;48392;48393;48394;48395;48396;48397	8900;8911;11422;17968;19688;22252;23217;35579;36337;39267;45598;48071;48363		
